time_tick,lac_X_value,lac_Y_value,lac_Z_value
7.462382,-0.133305,0.075457,3.710446
7.502554,0.543619,-3.909247,9.215381
7.532683,3.974979,-7.592509,9.306532
7.562812,3.996934,-13.342761,16.718215
7.602984,14.003372,-1.395762,25.170140
7.633113,9.642438,12.143402,14.306577
7.663242,1.315291,32.077880,-6.244646
7.703414,-8.476893,34.445306,-2.538272
7.733542,-21.201632,38.846892,-3.415462
7.763671,-3.445847,37.374588,20.072183
7.803843,16.092370,18.400585,43.204467
7.833972,15.828447,21.957794,58.275891
7.864100,37.186038,-7.671645,65.552677
7.904272,50.430916,-14.309896,30.807559
7.934401,35.830801,-13.617862,1.937206
7.964530,66.991517,-11.514605,-64.508249
8.007202,68.075793,-29.480359,-27.331297
8.037331,62.558570,-26.796843,33.664631
8.072482,50.876684,-15.169123,30.144381
8.107632,56.104016,-27.884249,69.198816
8.137761,61.014282,7.150914,70.196406
8.172912,48.038013,39.766027,71.514326
8.203041,42.558495,68.577312,69.940101
8.238191,40.048946,87.001538,-6.557405
8.273342,-9.282790,88.076339,-56.114280
8.303470,-35.685877,85.255560,-4.762068
8.338621,5.584216,78.713507,53.196327
8.373771,48.804405,69.864250,72.875955
8.403900,75.216268,-8.927125,72.382119
8.439051,36.234942,-3.319833,26.320195
8.474201,63.149117,-28.927716,-36.068282
8.504330,70.420020,-35.714608,-69.436538
8.539481,66.825432,-16.379241,-45.433085
8.574631,59.183434,-42.381552,16.821004
8.604760,45.467914,-33.829951,62.564233
8.634895,51.885834,-24.308977,70.597954
8.665024,58.557940,15.934320,72.577450
8.705196,50.155896,79.695586,60.423787
8.735325,30.705056,88.080585,-14.295047
8.765454,-29.304253,88.218238,-26.304335
8.805625,3.798367,83.360940,22.310554
8.835754,31.082752,78.072947,68.499946
8.865883,74.262256,24.751247,71.883962
8.906055,51.587067,-6.476448,48.875696
8.936184,47.776938,-31.366760,-14.996090
8.966313,60.407826,-63.440710,-39.699085
8.996442,64.736356,-49.673798,-52.477807
9.036614,49.676856,-36.396568,-4.421940
9.066743,44.990965,-29.887582,42.569962
9.096872,60.257734,-19.511980,71.036338
9.147087,59.087672,44.057941,74.888564
9.177216,45.821142,85.857714,33.267556
9.207345,11.024385,88.546470,-31.307240
9.237474,-39.903816,88.458368,-29.722963
9.267603,0.704625,84.706707,24.135438
9.307775,51.657797,77.334253,68.031779
9.337904,73.831135,24.622893,71.944343
9.368033,70.909488,-2.076684,64.419319
9.408205,43.233072,-42.255791,-7.117586
9.438334,62.936979,-56.230955,-57.109976
9.468463,64.260379,-36.931633,-53.087635
9.498592,62.673935,-38.273561,-13.193920
9.538764,54.400102,-27.335513,56.551490
9.568893,59.077169,-8.492173,70.837023
9.599022,59.370679,29.226018,73.394098
9.639194,47.602898,84.059866,52.168668
9.669323,9.507245,88.401569,-23.193730
9.699452,-36.694133,88.625070,-27.247149
9.739624,11.620532,84.130105,21.649443
9.769753,35.591791,79.161660,58.533375
9.799882,74.832663,52.249850,71.587866
9.830011,74.046490,1.036032,70.157106
9.870183,37.380359,-21.408324,-5.292195
9.900312,52.902190,-64.340396,-24.852639
