time_tick,lac_X_value,lac_Y_value,lac_Z_value
6.874211,-17.938235,-10.325385,10.25087
6.904339,-42.392733,-18.008411,5.211706
6.934467,-46.347062,-5.695394,2.793768
6.964595,-20.898579,20.272728,-2.505184
7.004766,-3.091109,26.594292,-3.144936
7.034895,-0.993212,30.637027,-2.475212
7.065023,1.825322,36.349125,-1.892119
7.105194,1.08924,27.702566,-3.030855
7.135322,-2.105718,18.258864,-7.780087
7.175493,-24.200755,-5.229798,-2.153065
7.205621,-53.391873,-18.84552,11.045459
7.23575,-31.758713,-17.625091,13.676941
7.265878,0.677829,-16.083696,7.304125
7.306049,12.535692,-11.647366,6.736411
7.336177,17.200294,-10.15886,7.867092
7.366305,20.419621,-9.286695,15.028098
7.406476,17.321088,-11.71007,10.702309
7.436604,10.712542,-19.256642,10.730942
7.466733,-2.485717,-18.601738,13.186238
7.506904,-35.397248,-23.151143,11.982399
7.537032,-51.229093,-20.766555,7.557162
7.56716,-35.722277,5.889078,1.345069
7.607331,-12.837456,33.093018,-4.473356
7.637459,-1.079944,32.231947,-7.401749
7.667588,4.027678,40.759642,-5.603133
7.707759,8.149132,39.832759,-7.903893
7.737887,-3.624699,19.490326,-10.2277
7.768015,-11.884127,11.500358,-9.72336
7.798143,-28.470576,0.172494,-0.247866
7.838314,-47.881417,-19.13471,10.941576
7.868443,-25.614981,-17.934318,11.163997
7.908614,5.689663,-18.724047,5.579416
7.938742,17.665845,-17.782803,4.761429
7.96887,18.819196,-16.095711,2.380476
8.009041,19.593098,-13.305271,7.425559
8.039169,15.439483,-11.602375,4.983101
8.069298,7.627843,-11.785115,7.025923
8.099426,-2.402335,-11.830218,9.688002
8.139597,-17.150297,-9.63953,15.592633
8.169725,-39.419898,-21.017136,11.33947
8.199853,-45.159299,-12.937249,4.153652
8.240024,-21.705003,21.722717,-4.866002
8.270152,-6.346029,25.217525,-8.657188
8.300281,-3.726381,27.414461,-5.664761
8.340452,4.574924,37.899685,-8.102526
8.37058,5.09977,28.891098,-7.921445
8.410751,-3.260602,18.683637,-6.314724
8.440879,-18.148989,11.564899,-5.884544
8.471006,-42.856804,-17.634293,2.817225
8.501135,-42.399472,-21.222573,7.62136
8.541306,-7.020052,-14.175771,6.259878
8.571434,8.728053,-18.113763,4.549992
8.601562,12.537776,-12.469634,5.123944
8.63169,18.034846,-9.10016,9.561321
8.671861,15.713188,-7.805758,11.570886
